Age,Workclass,Fnlwgt,Education,MaritalStatus,Occupation,Relationship,Race,Sex,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry,Y
51,3,259323,13,6,2,3,5,1,0,0,50,19,1
42,6,254817,10,4,13,6,5,0,0,1340,40,19,0
37,4,48211,9,1,7,2,5,0,0,0,35,19,0
18,3,140164,7,4,6,5,5,0,0,0,40,19,0
36,3,128757,13,6,15,3,4,1,7298,0,36,19,1
35,3,36270,9,1,12,6,5,1,0,0,60,19,0
58,1,210563,9,6,6,4,5,0,15024,0,35,19,1
17,3,65368,7,4,6,5,5,0,0,0,12,19,0
44,6,160943,9,6,14,3,4,1,0,0,40,19,0
37,3,208358,9,6,12,3,5,1,0,0,40,19,1
35,3,153790,10,4,6,6,3,0,0,0,40,19,0
60,3,85815,9,6,12,3,2,1,0,0,40,19,0
54,1,125417,4,6,8,3,5,1,0,0,40,19,1
37,3,635913,13,4,2,6,4,1,0,0,60,19,1
50,3,313321,12,1,6,6,5,0,0,0,40,19,0
38,3,182609,13,6,6,3,5,1,0,0,50,24,0
45,3,109434,13,6,13,3,5,1,0,0,55,19,0
25,3,255004,6,4,12,6,5,1,0,0,40,19,0
31,3,197860,10,6,1,3,5,1,0,0,40,19,0
64,5,187656,2,1,10,6,5,1,0,0,40,19,0
90,3,51744,9,4,15,6,4,1,0,2206,40,19,0
54,3,176681,9,6,7,3,4,1,0,0,20,19,0
53,6,140359,1,4,8,6,5,0,0,0,35,19,0
18,3,243313,9,4,6,5,5,0,0,0,40,19,0
60,5,24215,6,1,10,6,3,0,0,0,10,19,0
66,7,167687,9,6,5,3,5,1,1409,0,50,19,0
75,3,314209,11,7,7,6,5,0,0,0,20,42,0
65,3,176796,9,1,7,6,5,0,0,0,40,19,0
35,3,538583,7,2,14,6,4,1,3674,0,40,19,0
41,3,130408,9,1,6,2,4,0,0,0,38,19,0
25,3,159732,10,4,7,6,5,1,0,0,42,19,0
33,3,110978,10,1,12,1,1,0,0,0,40,19,0
28,3,76714,15,4,13,6,5,1,0,0,55,19,1
59,4,268700,9,6,15,3,5,1,0,0,40,19,0
40,4,170525,10,4,7,6,5,0,0,0,38,19,0
41,3,180138,13,6,2,3,5,1,0,0,50,34,1
38,6,115076,14,6,2,3,5,1,0,0,70,19,1
23,3,115458,9,4,14,5,5,1,0,0,40,19,0
40,3,347890,13,6,13,3,5,1,0,0,40,19,1
41,7,196001,9,6,15,4,5,0,0,0,20,19,0
24,4,273905,12,6,9,3,5,1,0,0,50,19,0
20,5,119156,10,4,10,5,5,1,0,0,20,19,0
38,3,179488,10,1,12,6,5,1,0,1741,40,19,0
56,3,203580,9,6,7,3,5,1,0,0,35,25,0
58,3,236596,9,6,7,3,5,1,0,0,45,19,1
32,3,183916,9,4,15,6,5,0,0,0,34,19,0
40,3,207578,12,6,11,3,5,1,0,1977,60,19,1
45,3,153141,9,6,7,3,5,1,0,0,40,25,0
41,3,112763,15,6,13,4,5,0,0,0,40,19,1
42,3,390781,13,6,7,4,4,0,0,0,40,19,0
59,6,171328,6,7,15,2,4,0,0,0,30,19,0
19,6,27382,10,4,7,5,5,1,0,0,40,19,0
58,3,259014,10,4,14,6,5,1,0,0,20,19,0
42,7,303044,9,6,5,3,2,1,0,0,40,26,1
20,3,117789,9,4,15,5,5,0,0,0,40,19,0
32,3,172579,9,2,15,6,5,0,0,0,30,19,0
45,3,187666,11,7,2,6,5,0,0,0,45,19,0
50,3,204518,4,1,12,6,5,1,0,0,40,19,0
36,3,150042,13,1,13,5,5,0,0,0,40,19,0
45,3,98092,9,6,6,3,5,1,0,0,60,19,0
17,3,245918,7,4,15,5,5,1,0,0,12,19,0
59,3,146013,10,6,6,3,5,1,4064,0,40,19,0
26,3,378322,7,6,12,3,5,1,0,0,40,19,0
37,1,257295,10,6,2,3,2,1,0,0,75,8,1
19,5,218956,10,4,10,5,5,1,0,0,24,1,0
64,3,21174,9,6,2,3,5,1,0,0,40,19,1
33,3,185480,13,4,13,6,5,0,0,0,45,19,0
33,3,222205,9,6,12,4,5,0,0,0,40,19,1
61,3,69867,9,6,2,3,5,1,0,0,40,19,1
17,3,191260,5,4,15,5,5,1,1055,0,24,19,0
50,7,30653,14,6,5,3,5,1,2407,0,98,19,0
27,6,209109,14,4,13,5,5,1,0,0,35,19,0
30,3,70377,9,1,13,5,5,0,0,0,40,19,0
43,3,477983,9,6,1,3,4,1,0,0,40,19,0
44,3,170924,10,6,12,3,5,1,7298,0,40,19,1
35,3,190174,10,4,2,6,5,0,0,0,40,19,0
25,3,193787,10,4,11,5,5,0,0,0,40,19,0
24,3,279472,10,6,8,4,5,0,7298,0,48,19,1
22,3,34918,13,4,13,6,5,0,0,0,15,38,0
42,6,97688,10,6,12,3,5,1,5178,0,40,19,1
34,3,175413,12,1,6,2,4,0,0,0,45,19,0
60,3,173960,13,1,13,6,5,0,0,0,42,19,0
21,3,205759,9,4,1,5,5,1,0,0,40,19,0
57,2,425161,14,6,6,3,5,1,15024,0,40,19,1
41,3,220531,15,6,13,3,5,1,0,0,60,19,1
50,3,176609,10,1,15,6,5,1,0,0,45,19,0
25,3,371987,13,4,2,6,5,0,0,0,40,19,0
50,3,193884,4,6,12,3,5,1,0,0,40,16,0
36,3,200352,13,6,13,3,5,1,0,0,45,19,0
31,3,127595,9,1,13,6,5,0,0,0,40,19,0
29,6,220419,13,4,9,6,5,1,0,0,56,19,0
21,3,231931,10,4,6,5,5,1,0,0,45,19,0
27,3,248402,13,4,11,2,4,0,0,0,40,19,0
65,3,111095,9,6,14,3,5,1,0,0,16,19,0
37,1,57424,13,1,6,6,5,0,0,0,60,19,0
39,5,157443,14,6,10,4,2,0,3464,0,40,25,0
24,3,278130,9,4,12,5,5,1,0,0,40,19,0
38,3,169469,9,1,6,6,5,1,0,0,80,19,0
48,3,146268,13,6,7,3,5,1,7688,0,40,19,1
21,3,153718,10,4,15,6,2,0,0,0,25,19,0
31,3,217460,9,6,14,3,5,1,0,0,45,19,1
55,3,238638,9,6,6,3,5,1,4386,0,40,19,1
24,3,303296,10,6,7,4,2,0,0,0,40,11,0
43,3,173321,9,1,7,6,5,0,0,0,40,19,0
26,3,193945,12,4,11,6,5,1,0,0,45,19,0
46,3,83082,12,4,13,6,5,0,0,0,33,19,0
35,3,193815,12,6,7,3,5,1,0,0,40,19,1
41,1,34987,10,6,5,3,5,1,0,0,54,19,1
26,3,59306,13,4,6,6,5,1,0,0,40,19,0
34,3,142897,14,6,2,3,2,1,7298,0,35,35,1
19,5,860348,10,4,10,5,4,0,0,0,25,19,0
36,7,205607,13,1,13,6,4,0,0,0,40,19,1
22,3,199698,10,4,6,5,5,1,0,0,15,19,0
24,3,191954,10,4,8,6,5,1,0,0,40,19,0
77,7,138714,10,6,6,3,5,1,0,0,40,19,0
22,3,399087,3,6,8,1,5,0,0,0,40,6,0
29,3,423158,10,4,11,6,5,0,0,0,40,19,0
62,3,159841,9,7,15,6,5,0,0,0,24,19,0
39,7,174308,9,6,2,3,5,1,0,0,40,19,0
43,3,50356,10,6,12,3,5,1,0,1485,50,19,0
35,3,186110,9,1,14,6,5,1,0,0,45,19,0
29,3,200381,7,4,2,6,5,0,0,0,40,19,0
76,7,174309,14,6,12,3,5,1,0,0,10,19,0
63,7,78383,9,6,5,3,5,1,0,0,45,19,0
23,5,211601,11,4,10,5,4,0,0,0,15,19,0
43,3,187728,10,6,13,4,5,0,0,1887,50,19,1
58,7,321171,9,6,1,3,5,1,0,0,40,19,0
66,3,127921,9,4,14,6,5,1,2050,0,55,19,0
41,3,206565,10,4,12,6,4,1,0,0,45,19,0
26,3,224563,13,4,7,6,5,1,0,0,40,19,0
47,3,178686,11,4,15,6,5,1,0,0,40,19,0
55,6,98545,6,6,7,3,5,1,0,0,40,19,0
53,3,242606,9,6,14,3,5,1,0,0,40,19,0
17,3,270942,3,4,15,1,5,1,0,0,48,6,0
30,3,94235,9,4,12,1,5,1,0,0,40,19,0
49,3,71195,14,4,13,6,5,1,0,0,60,19,0
19,3,104112,9,4,6,2,4,1,0,0,30,37,0
45,3,261192,9,6,15,3,4,1,0,0,40,19,0
26,3,94936,12,4,6,6,5,1,0,0,40,19,0
38,3,296478,11,6,12,3,5,1,7298,0,40,19,1
36,4,119272,9,6,9,3,5,1,7298,0,40,19,1
33,3,85043,9,4,5,6,5,1,0,0,20,19,0
22,4,293364,10,4,9,5,4,0,0,0,40,19,0
43,7,241895,13,4,6,6,5,1,0,0,42,19,0
67,5,36135,7,6,10,3,5,1,0,0,8,19,0
30,5,151989,11,1,10,2,5,0,0,0,40,19,0
56,3,101128,12,5,15,6,5,1,0,0,25,34,0
31,3,156464,13,4,13,5,5,1,0,0,25,19,0
33,3,117963,13,6,2,3,5,1,0,0,40,19,1
26,3,192262,9,6,15,3,5,1,0,0,40,19,0
33,3,111363,13,6,2,3,5,1,0,0,40,19,1
46,6,329752,7,6,14,3,5,1,0,0,30,19,0
59,5,372020,13,6,10,3,5,1,0,0,40,19,1
38,2,95432,9,6,7,3,5,1,0,0,40,19,1
65,3,161400,7,7,15,2,1,1,0,0,40,19,0
40,3,96129,11,6,11,3,5,1,0,0,40,19,1
42,3,111949,9,6,7,4,5,0,0,0,35,19,0
26,7,117125,5,6,12,3,5,1,0,0,40,18,0
36,3,348022,6,6,15,4,5,0,0,0,24,19,0
62,3,270092,14,6,13,3,5,1,0,0,40,19,1
43,3,180609,13,6,14,3,5,1,0,0,45,19,0
43,3,174575,13,1,2,6,5,1,0,1564,45,19,1
22,3,410439,9,5,6,6,5,1,0,0,55,19,0
28,3,92262,9,6,12,3,5,1,0,0,40,19,0
56,7,183081,10,6,6,3,5,1,0,0,45,19,0
22,3,362589,12,4,6,6,5,0,0,0,15,19,0
57,3,212448,13,1,2,6,5,0,0,0,45,19,1
39,3,481060,9,1,6,2,5,0,0,0,40,19,0
26,2,185885,10,4,7,2,5,0,0,0,15,19,0
17,3,89821,7,4,15,5,5,1,0,0,10,19,0
40,4,184018,11,6,8,3,5,1,0,0,38,19,1
45,3,256649,9,6,8,3,4,1,0,0,40,19,0
44,3,160323,9,4,12,6,4,1,0,0,40,19,0
20,6,350845,10,4,7,5,5,0,0,0,10,19,0
33,3,267404,9,6,12,4,5,0,0,0,40,19,0
23,3,35633,10,4,6,6,5,1,0,0,40,19,0
46,7,80914,14,1,2,6,5,1,0,0,30,19,0
38,3,172927,9,6,6,3,5,1,0,0,50,19,0
54,3,174319,9,1,14,6,5,1,0,0,40,19,0
46,3,214955,3,1,12,6,5,0,0,2339,45,19,0
25,3,344991,10,6,12,3,5,1,0,0,40,19,0
46,3,108699,10,1,6,6,5,0,0,0,40,19,0
36,6,117312,10,6,14,4,5,0,0,0,40,19,0
23,3,396099,9,4,15,6,5,0,0,0,25,19,0
29,3,134152,9,2,8,6,5,1,0,0,40,19,0
44,3,162028,10,6,7,4,5,0,0,2415,6,19,1
19,3,25429,10,4,7,5,5,0,0,0,16,19,0
19,3,232392,9,4,15,1,5,0,0,0,40,19,0
35,3,220098,9,6,15,4,5,0,0,0,40,19,1
27,3,301302,13,4,12,6,5,1,0,0,50,19,0
46,7,277946,12,2,12,6,5,1,0,0,40,19,0
34,4,98101,13,6,2,3,5,1,7688,0,45,25,1
34,3,196164,9,4,15,6,5,0,0,0,35,19,0
44,3,115562,10,6,11,3,5,1,0,0,40,19,0
45,3,96975,10,1,1,2,5,0,0,0,40,19,0
20,5,137300,9,4,10,1,5,0,0,0,35,19,0
25,3,86872,13,6,2,3,5,1,0,0,55,19,1
52,1,132178,13,6,2,3,5,1,0,0,50,19,1
20,3,416103,10,4,1,5,5,1,0,0,40,19,0
28,3,108574,10,4,15,6,5,0,0,0,40,19,0
50,4,288353,13,6,9,3,5,1,0,0,40,19,1
34,3,227689,11,1,11,6,5,0,0,0,64,19,0
28,3,166481,4,6,1,3,1,1,0,2179,40,32,0
41,3,445382,14,6,2,3,5,1,0,1977,65,19,1
28,3,110145,9,6,7,3,5,1,0,0,40,19,0
46,7,317253,9,6,12,3,5,1,0,0,25,19,0
28,5,123147,10,6,10,4,5,0,0,1887,40,19,1
32,3,364657,10,6,2,3,5,1,0,0,50,19,0
41,6,42346,10,1,15,6,4,0,0,0,24,19,0
24,3,241951,9,4,1,2,4,0,0,0,40,19,0
33,3,118500,10,1,2,2,5,0,0,0,40,19,0
46,3,188386,16,6,2,3,5,1,15024,0,60,19,1
31,4,1033222,10,6,8,3,5,1,0,0,40,19,0
35,3,92440,8,1,12,6,5,1,0,0,50,19,1
52,3,190762,2,6,8,3,5,1,0,0,40,6,0
30,3,426017,7,4,15,5,5,0,0,0,19,19,0
34,6,243867,7,2,8,6,4,1,0,0,40,19,0
34,4,240283,9,1,14,2,5,0,0,0,40,19,0
20,3,61777,10,6,6,3,5,1,0,0,30,19,0
17,3,175024,7,4,1,5,5,1,2176,0,18,19,0
32,4,92003,13,6,2,4,5,0,0,0,40,19,1
29,3,188401,9,1,5,6,5,1,0,0,40,19,0
33,3,228528,6,4,12,2,5,0,0,0,35,19,0
25,3,133373,9,6,14,3,5,1,0,0,60,19,0
36,2,255191,14,4,13,6,5,1,0,1408,40,19,0
23,3,204653,9,4,1,6,5,1,0,0,72,29,0
63,1,222289,9,6,2,3,5,1,0,0,40,19,1
47,6,287480,14,6,13,3,5,1,0,0,40,19,0
80,5,107762,9,7,10,6,5,1,0,0,24,19,0
17,5,202521,7,4,10,5,5,1,0,0,40,19,0
40,7,204116,13,5,13,6,5,0,2174,0,40,19,0
30,3,29662,12,6,15,4,5,0,0,0,25,19,1
27,3,116358,10,4,12,5,2,1,0,1980,40,21,0
33,3,208405,14,6,13,3,5,1,0,0,50,19,1
34,6,284843,9,4,5,6,4,1,594,0,60,19,0
34,6,117018,10,4,9,6,5,0,0,0,40,19,0
23,3,81281,10,6,7,3,5,1,0,0,40,19,0
42,6,340148,10,6,7,4,5,0,0,0,40,19,0
29,3,363425,13,4,13,6,5,1,0,0,40,19,0
45,3,45857,9,1,7,6,5,0,0,0,28,19,0
24,2,191073,9,4,4,5,5,1,0,0,40,19,0
44,3,116632,10,6,13,3,5,1,0,0,40,19,1
27,3,405855,5,4,12,1,5,1,0,0,40,6,0
20,3,298227,10,4,6,6,5,1,0,0,35,19,0
44,3,290521,9,7,2,2,4,0,0,0,40,19,0
51,3,56915,9,6,12,3,3,1,0,0,40,19,0
20,3,146538,9,6,8,3,5,1,0,0,40,19,0
17,5,258872,7,4,10,5,5,0,0,0,5,19,0
19,3,206399,9,4,8,5,4,0,0,0,40,19,0
45,1,197332,10,6,12,3,5,1,0,0,55,19,1
60,3,245062,9,6,12,3,5,1,0,0,40,19,1
42,3,197583,12,6,2,3,4,1,0,0,40,25,1
44,7,234885,9,6,6,4,5,0,0,0,40,19,1
40,3,72887,11,6,8,3,2,1,0,0,40,19,1
30,3,180374,9,6,2,4,5,0,0,0,40,19,0
38,3,351299,10,6,14,3,4,1,0,0,50,19,0
23,3,54012,9,6,14,3,5,1,0,0,60,19,0
32,5,115745,10,6,10,3,5,1,0,0,40,19,0
44,3,116632,12,4,5,5,5,1,0,0,40,19,0
54,6,288825,9,6,14,3,4,1,0,0,40,19,0
32,3,132601,13,6,13,3,5,1,0,0,50,19,0
50,3,193374,2,5,12,2,5,1,0,0,40,19,0
24,3,170070,13,4,11,6,5,0,0,0,20,19,0
37,3,126708,9,6,7,4,5,0,0,0,60,19,0
52,3,35598,9,1,14,2,5,1,0,0,40,19,0
38,3,33983,10,6,14,3,5,1,0,0,40,19,0
49,3,192776,14,6,2,3,5,1,0,1977,45,19,1
30,3,118551,13,6,11,4,5,0,0,0,16,19,1
60,3,201965,10,4,13,2,5,1,0,0,40,19,1
22,5,139883,10,4,10,5,5,1,0,0,40,19,0
35,3,285020,9,4,12,6,5,1,0,0,40,19,0
30,3,303990,9,4,14,6,5,1,0,0,60,19,0
67,3,49401,11,1,15,6,5,0,0,0,24,19,0
